blockNum,index,txHash,gas,gasPrice,gasTipCap,gasFeeCap,blockAvgGasTip
14696596,128,0x5578ed85325a45ff9fb64e3d8171bf7b20219c50c52e62abd530fd3f06274611,500000,129355824283,2289887633,129355824283,15677514317
14696861,193,0xa00b575b4764b03e67188500d2e54aa81e1639801ad039c03771bea6dcffdbc5,500000,62489868899,2500000000,62489868899,24240434637
14697114,378,0xdf208a3ff5e5e37d17a7f0415049056a4a99cb7da0abc9f971281167b8e1cae2,500000,125289035137,2000000000,125289035137,11079654108
14697146,153,0x8c73df937432f5dd888d24044b0536b3bd7014261c119167cd7553fc471dcdcb,500000,54580328411,2500000000,54580328411,17930564751
14697378,132,0x7f9ca55fdf83bf96f38946850bb7f805eaa30e406f5760769618805f9c1eef4e,500000,188757502545,2000000000,188757502545,20032422776
14697626,29,0x4d028b5d293da2e5978dbbfb41fa4fbf57b95431c74dbffe42f6b194532e3872,500000,55160802965,2000000000,55160802965,9338636626
14697644,160,0xa26261737aeb114828d8b0137f6d5a17b2a367f870ec884ab866fe0826970e78,500000,135957399457,2000000000,135957399457,16996752417
14697899,506,0x430b3c829286ef0b7f467ebb08414e2e860dd34247211a012b85649266d76ea3,500000,142146978637,1500000000,142146978637,9521144850
14698134,230,0x10c683b8e21b8363eae224f5f7ae782c379c0259be78ae4247139ab10e61cd5f,500000,134111177972,2000000000,134111177972,11995369440
14698379,262,0xc2006a9757a5ffcfadc93d3a025cd13f025b13310a969a09fec05268321ae752,500000,246873749638,1550000000,246873749638,23628434400
14698445,143,0xbcfbb54de0a2391ee2fffeab2ed8e446f3a9349efb5befa356420489dd8fe8b9,500000,217048716182,2000000000,217048716182,14806015480
14698566,133,0x0ecc5976078a2ba645d5f0581763de4b45a827b2ed0c92c5f40a398242a0c303,500000,61394639267,61394639267,61394639267,19489780140
14698600,91,0xf9d889688607d14d59511c898904ad4bf3228015f629a2a9ee41bac8d1f79df0,500000,240988447450,2000000000,240988447450,35202340754
14698654,93,0xb627abe7cff93403c9c74547199b11ae260bfaa56a71f3a219e6b707db21609c,500000,81586461237,2000000000,81586461237,15388028027
14698774,233,0x1d71617fc94feba7dba42295a5e90807cd8b161e9370e9e0f6e5b65601fe3acc,500000,216105644037,2000000000,216105644037,12433456899
14698836,104,0x659f6187605a34cbe24cb6fad596c8c8022e985a66d44cd23a05fac3952644e1,500000,102964491359,6000000000,102964491359,20759770159
14698851,93,0xc58c206be962ac0cf0ec362da8a4b9d2105d82b7130e5ae00217b7e924a35e79,500000,148124190038,2000000000,148124190038,14161514062
14698949,293,0xb2ba1f8afbefa993c833ce6c1e4371e13664bbb95fc697521ddde0b3bb1a8fc0,500000,93919284026,2000000000,93919284026,32885706277
14698952,49,0x4e1ae95f021a13408f22757b6bac9b3e273d90acc3a040103706c949fb07fd21,500000,61842529395,61842529395,61842529395,17378966677
14699251,83,0xe36cd9b4179341c5be8bf2a0f9abc86d9109e8ff60eaecf5dd465cbc1c7de3c9,500000,275843019630,2000000000,275843019630,3901795740
14699263,127,0x0c2d42402ad95dd6f1eea6bbf060ab78d0013d353784a872f665a966fc0b32d7,500000,300851870322,3697794972,300851870322,17306725072
14699319,45,0x4614c331fa3b7f9f70dfe5e18657691fafabdb8e24893fc793f4c4f819305247,500000,93013003745,4000000000,93013003745,15109733832
