topic0,reserve0,reserve1,blockNum,index
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c14ace9def0000000000000000000000000000000000000000000008afdf78daae69a4d4f6,14838866,593,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c153bf6f6f0000000000000000000000000000000000000000000008afde6c150fe6175ba0,14838866,641,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c1537440a10000000000000000000000000000000000000000000008afde74f6cc82079ba0,14838869,528,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bfeb8a88de0000000000000000000000000000000000000000000008b008fa89c185ded3d8,14838871,104,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c0272552de0000000000000000000000000000000000000000000008b001fa7ba3f1479225,14838872,63,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bf78a499b00000000000000000000000000000000000000000000008b01698c765fa672628,14838873,78,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bf695fe0000000000000000000000000000000000000000000000008b01866a1b5a7342628,14838875,133,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bf6853a3bf0000000000000000000000000000000000000000000008b01886538a0867fa28,14838876,102,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bfafda2fbf0000000000000000000000000000000000000000000008b0101fbf9389756e84,14838877,58,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bfd5a18f600000000000000000000000000000000000000000000008b00bafde72c8fa80ce,14838878,57,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049bfbbca8df70000000000000000000000000000000000000000000008b00ebd7748639080ce,14838885,272,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c339595b880000000000000000000000000000000000000000000008afa5d01c8bb32ef291,14838896,6,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c308620b980000000000000000000000000000000000000000000008afab98b31520006d88,14838897,384,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c43f1bbc4b0000000000000000000000000000000000000000000008af871e14c38e748640,14838898,16,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c5e696fac70000000000000000000000000000000000000000000008af556897b6c56d31d6,14838899,314,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c5e3455ab00000000000000000000000000000000000000000000008af55ccea583913bb9e,14838901,463,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c537829eb90000000000000000000000000000000000000000000008af6a151dded4af5eff,14838903,292,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c531ab3aeb0000000000000000000000000000000000000000000008af6ac5b4175a364587,14838903,588,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049c531ab3aeb0000000000000000000000000000000000000000000008af6ac5b4175a364587,14838905,163,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049ba214ae2cd0000000000000000000000000000000000000000000008b0b96fd83e19f8e587,14838906,2,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049ba5ce5accd0000000000000000000000000000000000000000000008b0b26eaf2a2d6f2ce8,14838910,67,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049ba5aba23a10000000000000000000000000000000000000000000008b0b2b05c918d97b74d,14838916,539,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049ba69a0d6210000000000000000000000000000000000000000000008b0b0f013f6e3caa676,14838917,149,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,000000000000000000000000000000000000000000000000000049ba669382bb0000000000000000000000000000000000000000000008b0b14c72d39ff3a676,14838917,276,
