topic0,reserve0,reserve1,blockNum,index
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef8109a02ba7c4a312000000000000000000000000000000000000000000000000000029e86be46292,14838871,80,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef979ff43df49f71ce000000000000000000000000000000000000000000000000000029e7acb14bef,14838890,343,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef96ddd19dbe173fe1000000000000000000000000000000000000000000000000000029e7b3266f0f,14838898,120,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef94c440568eb7607d000000000000000000000000000000000000000000000000000029e7c508120f,14838905,280,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef949c7973ac2c722b000000000000000000000000000000000000000000000000000029e7c65acaab,14838910,33,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef9460f7ec66cf7b74000000000000000000000000000000000000000000000000000029e7c461964d,14838913,32,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef9251ba1d403d2205000000000000000000000000000000000000000000000000000029e7d5eb5ad8,14838914,232,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef9734410d3d064e72000000000000000000000000000000000000000000000000000029e7ac92474c,14838919,8,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef8794599aa650db6a000000000000000000000000000000000000000000000000000029e831a0a020,14838919,61,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef89725e1dc0d83b6a000000000000000000000000000000000000000000000000000029e821d22463,14838925,469,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef8272a65163db80dc000000000000000000000000000000000000000000000000000029e85d6cee63,14838932,450,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef9065bc640b9530e2000000000000000000000000000000000000000000000000000029e7e7575f02,14838938,216,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef90c6619408cdd73c000000000000000000000000000000000000000000000000000029e7e4254bf3,14838942,119,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef91a43c698f1cd9de000000000000000000000000000000000000000000000000000029e7dccf5dce,14838950,528,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef79253ef2b73fbbe9000000000000000000000000000000000000000000000000000029e8ad6d20ce,14838972,15,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef78720fc35f9bb998000000000000000000000000000000000000000000000000000029e8b3633d0a,14838972,168,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7875954cbfbded98000000000000000000000000000000000000000000000000000029e8b3456ca7,14838980,25,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef71f7c94421b42400000000000000000000000000000000000000000000000000000029e8ea8f3d59,14838984,13,
